特征,与目标相关系数,相关强度
Triad_Score,0.7016985546106893,0.7016985546106893
Polyuria,0.6659224017308103,0.6659224017308103
Polydipsia,0.6487337304599187,0.6487337304599187
Age_polyuria_interaction,0.6037135197468683,0.6037135197468683
Total_Symptoms,0.520900100467665,0.520900100467665
Gender,-0.4492333585023042,0.4492333585023042
sudden weight loss,0.4365681826150595,0.4365681826150595
partial paresis,0.4322876205405217,0.4322876205405217
Polyphagia,0.3425038635438582,0.3425038635438582
Irritability,0.29946706887473246,0.29946706887473246
Alopecia,-0.2675115767280858,0.2675115767280858
Metabolic_Score,0.2577874087341934,0.2577874087341934
visual blurring,0.25130024808579327,0.25130024808579327
weakness,0.2432747733036915,0.2432747733036915
Age_<30,-0.17844356324383864,0.17844356324383864
Neural_Score,0.17102131686732677,0.17102131686732677
muscle stiffness,0.12247448713915898,0.12247448713915898
Genital thrush,0.11028774943290107,0.11028774943290107
Age,0.1086789985446608,0.1086789985446608
Age_30-40,0.07727623432354128,0.07727623432354128
Age_60+,0.07416198487095664,0.07416198487095664
Age_obesity_interaction,0.0733540171809201,0.0733540171809201
Obesity,0.07217333961497445,0.07217333961497445
delayed healing,0.04697952474875211,0.04697952474875211
Age_40-50,-0.01966384160500344,0.01966384160500344
Itching,-0.013383718511141495,0.013383718511141495
Age_50-60,-0.0014154738952377782,0.0014154738952377782
